OID_,OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,Shape_Leng,MAPLABEL,ID,AREASQMI
90,91,SOUTHWEST HILLS,SOUTHWEST,N,NWNW,HORZ,1067.776687812447335,Southwest Hills,91,0.010304544529100
91,92,MT. SCOTT-ARLETA,OUTER SE,N,SEUL,HORZ,9080.136680240511851,Mt. Scott-Arleta,92,0.863943057459000
92,93,SELLWOOD-MORELAND, ,N,SEUL,VERT,15590.292994830284442,Sellwood-Moreland,93,2.082308868200000
93,94,REED, ,N,SEUL,HORZ,8915.200507459789151,Reed,94,0.461568361549000
94,95,WOODSTOCK, ,N,SEUL,VERT,13141.215413180034375,Woodstock,95,1.246852473710000
95,96,HAYHURST,SOUTHWEST,N,SWCS,HORZ,12445.214543382166084,Hayhurst,96,1.142244034370000
96,97,EASTMORELAND/REED, ,Y,SEUL, ,6163.184425793549053,Eastmoreland/Reed,97,0.218147534072000
97,98,EASTMORELAND, ,N,SEUL,VERT,9529.272025642410881,Eastmoreland,98,0.847967625768000
98,99,PLEASANT VALLEY/POWELLHURST-GILBERT,OUTER SE,Y,EPCO, ,6140.246323309683248,Pleasant Valley/Powellhurst-Gilbert,99,0.314817450904000
99,100,MAPLEWOOD,SOUTHWEST,N,SWCS,HORZ,8008.283899589483553,Maplewood,100,0.619152101541000
100,101,MULTNOMAH,SOUTHWEST,N,SWCS,HORZ,13290.653702626694212,Multnomah,101,1.443088327470000
101,102,BRENTWOOD-DARLINGTON,OUTER SE,N,SEUL,HORZ,13895.127374903140662,Brentwood-Darlington,102,1.752729625950000
102,103,SOUTH BURLINGAME,SOUTHWEST,N,SWCS,HORZ,7379.534736883645564,South Burlingame,103,0.425191158994000
103,104,ASHCREEK,SOUTHWEST,N,SWCS,HORZ,13547.245565166775123,Ashcreek,104,0.855109107612000
104,105,MC UNCLAIMED #11,SOUTHWEST,N,UNCLAIMED,NA,9369.940810503951070,MC Unclaimed #11,105,0.630501077452000
105,106,EASTMORELAND/ARDENWALD-JOHNSON CREEK, ,Y,SEUL, ,2726.891775709911599,Eastmoreland/Ardenwald-Johnson Creek,106,0.044783708183000
106,107,ARDENWALD-JOHNSON CREEK, ,N,SEUL,HORZ,10699.932091658580248,Ardenwald-Johnson Creek,107,0.893242243873000
107,108,MARKHAM,SOUTHWEST,N,SWCS,HORZ,9223.062117005316395,Markham,108,0.519254718144000
108,109,MARSHALL PARK,SOUTHWEST,N,SWCS,VERT,12072.718280702416450,Marshall Park,109,0.610662081906000
109,110,ARDENWALD-JOHNSON CREEK/WOODSTOCK, ,Y,SEUL, ,2635.870961186753448,Ardenwald-Johnson Creek/Woodstock,110,0.073172411750600
110,111,COLLINS VIEW,SOUTHWEST,N,SWCS,HORZ,15881.049092399609435,Collins View,111,0.869150729886000
111,112,ARDENWALD-JOHNSON CREEK, ,N,SEUL,HORZ,3672.769047090087042,Ardenwald-Johnson Creek,112,0.051516512701100
112,113,CRESTWOOD,SOUTHWEST,N,SWCS,HORZ,9397.627560289947724,Crestwood,113,0.559178861046000
113,114,WEST PORTLAND PARK,SOUTHWEST,N,SWCS,HORZ,9468.731771780694544,West Portland Park,114,0.729555325663000
114,115,MC UNCLAIMED #13,SOUTHWEST,N,UNCLAIMED,NA,13618.772639696804617,MC Unclaimed #13,115,0.650182344532000
115,116,ARNOLD CREEK,SOUTHWEST,N,SWCS,HORZ,15488.593749201685569,Arnold Creek,116,1.096882527460000
116,117,FAR SOUTHWEST,SOUTHWEST,N,SWCS,HORZ,7169.097456204209266,Far Southwest,117,0.595688988148000
117,118,ASHCREEK/CRESTWOOD,SOUTHWEST,Y,SWCS,HORZ,4474.181522607565057,Ashcreek/Crestwood,118,0.067300439310200
118,119,ASHCREEK,SOUTHWEST,N,SWCS,HORZ,3859.978426264388872,Ashcreek,119,0.055295194703800
119,120,ASHCREEK,SOUTHWEST,N,SWCS,HORZ,134.874678158264743,Ashcreek,120,0.000174062000678
120,121,ASHCREEK/CRESTWOOD,SOUTHWEST,Y,SWCS, ,173.825878082015237,Ashcreek/Crestwood,121,0.000358769475522
121,122,MC UNCLAIMED #13,SOUTHWEST,N,UNCLAIMED,NA,296.243335927687951,MC Unclaimed #13,122,0.000929933801356
122,123,MC UNCLAIMED #13,SOUTHWEST,N,UNCLAIMED,NA,326.220114553732003,MC Unclaimed #13,123,0.001254688989310
123,124,ST. JOHNS, ,N,NPNS,HORZ,32608.841027290825878,St. Johns,124,11.060441787300000
124,125,HAYDEN ISLAND, ,N,NPNS,HORZ,27375.215778040375881,Hayden Island,125,2.983082103330000
125,126,KENTON,ALBINA,N,NPNS,HORZ,19247.188225032376067,Kenton,126,3.446050693540000
126,127,BRIDGETON, ,N,NPNS,HORZ,8635.720662345876917,Bridgeton,127,0.270989670690000
127,128,EAST COLUMBIA, ,N,NPNS,HORZ,15397.269131246390316,East Columbia,128,2.279975814440000
128,129,SUNDERLAND, ,N,CNN,HORZ,20706.496916076590423,Sunderland,129,1.763342819150000
129,130,PORTSMOUTH, ,N,NPNS,HORZ,10003.795565137239464,Portsmouth,130,1.082287565310000
