OID_,GEOID,INTPTLAT,INTPTLON,NAME_1,COALIT,COUNT,SUM_SQ_FT
1,410510072021119,+45.5902196,-122.6703909,EAST COLUMBIA,NPNS,12.000000000000000,96840.000000000000000
2,410510005022006,+45.4813305,-122.5802690,MT. SCOTT-ARLETA,SEUL,29.000000000000000,31130.000000000000000
3,410510005014013,+45.4875275,-122.5966865,MT. SCOTT-ARLETA,SEUL,17.000000000000000,17705.000000000000000
4,410510012021000,+45.5116319,-122.6354427,RICHMOND,SEUL,8.000000000000000,33628.000000000000000
5,410510072021269,+45.5895267,-122.6966294,KENTON,NPNS,2.000000000000000,11825.000000000000000
6,410510106001057,+45.5179344,-122.6786313,DOWNTOWN,NWNW,2.000000000000000,41073.000000000000000
7,410510055002007,+45.5170294,-122.6895412,GOOSE HOLLOW,NWNW,16.000000000000000,41835.000000000000000
8,410510086001026,+45.4705199,-122.5810192,BRENTWOOD-DARLINGTON,SEUL,50.000000000000000,53786.000000000000000
9,410510089011078,+45.4757340,-122.5165072,PLEASANT VALLEY,EPNO,27.000000000000000,47476.000000000000000
10,410510093011026,+45.5267986,-122.4982426,WILKES,EPNO,5.000000000000000,5336.000000000000000
11,410510094002013,+45.5380544,-122.5249765,RUSSELL,EPNO,15.000000000000000,23426.000000000000000
12,410510005023020,+45.4763216,-122.5808482,MT. SCOTT-ARLETA,SEUL,6.000000000000000,6870.000000000000000
13,410510005011008,+45.4852262,-122.5902449,MT. SCOTT-ARLETA,SEUL,28.000000000000000,26619.000000000000000
14,410510037013016,+45.5726725,-122.6692701,PIEDMONT,NPNS,21.000000000000000,27488.000000000000000
15,410510056004014,+45.5129963,-122.6801338,DOWNTOWN,NWNW,1.000000000000000,36580.000000000000000
16,410510007013014,+45.4995656,-122.5989982,SOUTH TABOR,SEUL,24.000000000000000,20678.000000000000000
17,410510005025017,+45.4861113,-122.5865946,FOSTER-POWELL,SEUL,12.000000000000000,22348.000000000000000
