geoid,intptlat,intptlon
410050222082002,45.457657,-122.51741
410050222082028,45.453552,-122.51669
410050222082031,45.453529,-122.5181
410050210002002,45.459694,-122.60902
410050210002011,45.456623,-122.61497
410050209003000,45.453873,-122.62119
410050203043005,45.425236,-122.73034
410050232012028,45.454437,-122.48308
410050222081011,45.455181,-122.49206
410050209001007,45.459572,-122.62231
410050210002018,45.455261,-122.61539
410050209001024,45.459476,-122.62062
410050210002012,45.459423,-122.61935
410050210002013,45.458336,-122.61931
410050210002014,45.4571,-122.61847
410050209003009,45.449757,-122.62354
410050209003001,45.452816,-122.62286
410050210003009,45.451233,-122.62
410050210002028,45.453751,-122.61933
410050222082030,45.452648,-122.51775
410050222082039,45.451889,-122.51816
410050209001001,45.460678,-122.61731
410050210003002,45.453293,-122.61781
410050210002021,45.456535,-122.61065
410050210002027,45.458271,-122.60777
410050210003000,45.453716,-122.61424
410050210002008,45.457367,-122.60774
410050210003001,45.453243,-122.6162
410050210003004,45.452427,-122.61623
410050210002009,45.457626,-122.61144
410050210003006,45.451748,-122.61189
410050210003005,45.451355,-122.61323
410050211001001,45.447727,-122.62339
410050211001000,45.447704,-122.62081
410050211002002,45.44733,-122.61825
410050211001006,45.447006,-122.62335
410050211001005,45.446285,-122.62333
410050211001007,45.446995,-122.62082
410050211001008,45.446278,-122.62083
410050211002010,45.445541,-122.61827
410050211001011,45.444847,-122.6233
410050211001014,45.444138,-122.62328
410050211001019,45.443432,-122.62323
410050211001013,45.444122,-122.62092
410050211001012,45.444836,-122.62085
410050211001020,45.442783,-122.62271
410050211001018,45.443413,-122.62093
410050211001021,45.442699,-122.62093
410050211002011,45.444485,-122.61723
410050211002017,45.442669,-122.61823
410050211002014,45.44318,-122.61681
410050211001023,45.441429,-122.62008
410050211002016,45.442059,-122.61729
410050211002004,45.446247,-122.61569
410050210003007,45.449493,-122.61465
410050210003008,45.448875,-122.61692
410050211002001,45.447681,-122.61568
410050211002005,45.446968,-122.61568
410050211002000,45.44767,-122.61312
410050211002007,45.446232,-122.61313
410050211002008,45.445515,-122.61313
410050210002001,45.460304,-122.60764
410050210001002,45.460468,-122.60571
410050210001005,45.458935,-122.60299
410050210001001,45.460346,-122.60393
410050210002020,45.453037,-122.60516
410050210001008,45.458061,-122.60601
410050210001015,45.457859,-122.60263
410050210001026,45.456112,-122.60665
410050210001019,45.456715,-122.60136
410050210001011,45.456509,-122.6031
410050210001020,45.456387,-122.60117
410050210001028,45.454891,-122.60361
410050210001027,45.455082,-122.60647
410050210001006,45.459309,-122.60101
410050210001021,45.456089,-122.59988
410050210001016,45.457394,-122.60001
410050216014012,45.460205,-122.60003
410050210001023,45.451324,-122.59991
410050216014014,45.459389,-122.5971
410050210001029,45.454231,-122.60361
410050210001036,45.453568,-122.60362
410050210001030,45.453896,-122.60174
410050210001039,45.452091,-122.60313
410050216013000,45.455399,-122.59649
410050210001032,45.452538,-122.60163
410050210001041,45.45145,-122.60339
410050216014023,45.458015,-122.59784
410050216014024,45.456863,-122.59543
410050211003009,45.446934,-122.61054
410050210001022,45.45533,-122.59988
410050222061005,45.45575,-122.57192
410050222081039,45.449677,-122.50002
410050222081010,45.456814,-122.49545
410050201001064,45.431015,-122.69849
410050201001065,45.431625,-122.69872
410050222081032,45.450703,-122.51165
410050210001042,45.450459,-122.60342
410050201002039,45.424564,-122.67038
410050215001000,45.432526,-122.60011
410050216014015,45.460445,-122.59812
410050216014022,45.460442,-122.59323
410050216014021,45.459721,-122.59323
410050216011010,45.45546,-122.5918
410050216014017,45.458576,-122.58868
410050216011001,45.458405,-122.58787
410050216013002,45.454895,-122.59752
410050216013007,45.452957,-122.59739
410050216013003,45.454594,-122.59676
410050216013008,45.453434,-122.59439
410050216013005,45.453949,-122.59526
410050216013010,45.451702,-122.59823
410050216013004,45.454578,-122.59441
410050216013009,45.453938,-122.59373
410050222062024,45.454582,-122.55165
410050216013013,45.4529,-122.59401
410050216013011,45.452263,-122.59621
410050216011012,45.453762,-122.59066
410050216014003,45.461136,-122.59064
410050216014018,45.458977,-122.59064
410050216012011,45.452351,-122.59178
410050216012009,45.452148,-122.58958
410050216011009,45.45509,-122.58554
410050216011002,45.458603,-122.58374
410050216011013,45.453728,-122.58797
410050216012008,45.452507,-122.58797
410050216011014,45.453728,-122.58698
410050216012007,45.452503,-122.58696
410050222011009,45.459686,-122.57539
410050216011008,45.456131,-122.5801
410050216011016,45.453724,-122.58494
410050216012005,45.452499,-122.58491
410050216011017,45.45372,-122.58393
410050216012004,45.452496,-122.58391
410050216011020,45.453716,-122.58068
410050216011018,45.453716,-122.58298
410050216012028,45.452164,-122.58181
410050216012000,45.452477,-122.5796
410050216012003,45.452492,-122.58295
410050216011019,45.454048,-122.58186
410050216012002,45.452835,-122.58183
410050222011006,45.45723,-122.57691
410050222011005,45.454384,-122.57745
410050216011021,45.453712,-122.57962
410050210001000,45.460712,-122.60229
410050222011000,45.458965,-122.57324
410050222061010,45.453346,-122.57042
410050222012000,45.446297,-122.57442
410050222061008,45.447845,-122.56851
410050222081029,45.460941,-122.50908
410050203041005,45.431675,-122.74256
410050203041006,45.431686,-122.74073
410050203041007,45.430794,-122.74142
410050203041022,45.428253,-122.74078
410050203041008,45.431206,-122.73962
410050203041028,45.422371,-122.74335
410050203042008,45.42794,-122.72652
410050203031003,45.431988,-122.71972
410050203041013,45.427391,-122.73473
410050209001009,45.460297,-122.62717
410050203043004,45.425125,-122.72868
410050208001008,45.458485,-122.63838
410050208001009,45.459072,-122.63898
410050202002012,45.424038,-122.70126
410050222081045,45.453312,-122.4916
410050209001008,45.460541,-122.6245
410050201001043,45.428188,-122.68485
410050203031012,45.428825,-122.71754
410050203031011,45.429962,-122.71569
410050203031006,45.429428,-122.72063
410050203031010,45.431416,-122.71508
410050203033000,45.423004,-122.71269
410050203032010,45.43166,-122.71333
410050203041009,45.429146,-122.73886
410050203043006,45.423923,-122.73334
410050203032014,45.428761,-122.71023
410050203032011,45.430004,-122.70932
410050203032013,45.428516,-122.70876
410050203032001,45.432167,-122.70541
410050202002010,45.421368,-122.70499
410050201001068,45.43298,-122.70165
410050201001075,45.425152,-122.69841
410050201001051,45.432968,-122.69777
410050202002009,45.421524,-122.69772
410050216014005,45.461285,-122.59332
410050201001042,45.430912,-122.67746
410050201002017,45.427132,-122.67297
410050201002044,45.42371,-122.6763
410050201002004,45.427017,-122.67418
410050201002021,45.424007,-122.67921
410050201002022,45.42498,-122.67615
410050201003018,45.423668,-122.67372
410050203041027,45.422329,-122.74019
410050216014006,45.460712,-122.59548
410050215001001,45.435745,-122.61017
410050208001033,45.451538,-122.65601
410050208001028,45.455986,-122.65132
410050208001029,45.453274,-122.65294
410050208001024,45.456749,-122.65227
410050208001025,45.457211,-122.6514
410050208001026,45.457603,-122.64973
410050208001035,45.445759,-122.64581
410050201002025,45.426159,-122.67318
410050201002010,45.426041,-122.67195
410050201002000,45.427727,-122.67117
410050201001028,45.432487,-122.65984
410050201002014,45.425968,-122.67134
410050201001014,45.431965,-122.66509
410050201001012,45.427574,-122.66063
410050201001030,45.431381,-122.65732
410050201001029,45.432144,-122.65841
410050201001013,45.42955,-122.66301
410050201002028,45.424911,-122.67345
410050201003016,45.423523,-122.67251
410050201003014,45.423382,-122.67127
410050201002008,45.425903,-122.67073
410050201002011,45.425747,-122.66949
410050201002036,45.424362,-122.66853
410050201002038,45.4245,-122.66976
410050201003012,45.423248,-122.67003
410050201002015,45.425491,-122.66829
410050201002005,45.425362,-122.66769
410050201002018,45.425236,-122.66708
410050201002034,45.424225,-122.6673
410050201002016,45.424984,-122.6659
410050201002032,45.424091,-122.66608
410050201002030,45.423958,-122.66484
410050222082023,45.454933,-122.51978
410050209001004,45.461121,-122.62328
410050222062018,45.455288,-122.54025
410050222062017,45.456379,-122.54079
410050222081020,45.459011,-122.50712
410050222082000,45.460857,-122.51475
410050208003011,45.436329,-122.63315
410050208003002,45.439522,-122.63235
410050203042000,45.431866,-122.72732
410050201002033,45.424156,-122.66669
410050201001076,45.424984,-122.69672
410050201001067,45.432495,-122.70124
410050201001070,45.431534,-122.7007
410050201002031,45.424026,-122.66547
410050201003019,45.423737,-122.67438
410050210001037,45.452866,-122.60361
410050210001033,45.452888,-122.60247
410050210001038,45.452316,-122.60377
410050201002012,45.42561,-122.66888
410050208001042,45.457027,-122.64967
410050201001050,45.432755,-122.6981
410050201001006,45.42947,-122.65677
410050201001009,45.429676,-122.65748
410050201001010,45.428619,-122.65808
410050201001052,45.430874,-122.69616
410050201002027,45.424847,-122.67284
410050203031005,45.429173,-122.72302
410050201002041,45.424702,-122.67162
410050201003017,45.423595,-122.67311
410050201003015,45.423462,-122.67189
410050201003011,45.423176,-122.66943
410050201003013,45.423313,-122.67065
410050201001071,45.427273,-122.70335
410050215001003,45.43718,-122.61591
410050232012027,45.45705,-122.47906
410050232012007,45.46051,-122.48219
410050222081040,45.45203,-122.48899
410050222081091,45.447983,-122.50135
410050222081043,45.459373,-122.50552
410050222081015,45.459892,-122.50902
410050222081044,45.460644,-122.50411
410050203043007,45.422657,-122.73003
410050203033008,45.423409,-122.71658
410050201002003,45.425114,-122.66649
410050201001089,45.424603,-122.68571
410050210003010,45.449093,-122.62032
410050203041011,45.428253,-122.7382
410050210002024,45.449284,-122.60878
410050210003011,45.449127,-122.62141
410050216014010,45.461113,-122.59831
410050203031004,45.432663,-122.72091
410050210001004,45.459103,-122.60571
410050210001014,45.458397,-122.60493
410050203032000,45.432701,-122.70324
410050232012006,45.460373,-122.47642
410050222081027,45.453659,-122.51295
410050201001056,45.431637,-122.68926
410050201001045,45.432465,-122.69133
410050211002019,45.440273,-122.61589
410050209001022,45.459267,-122.62461
410050210002006,45.459259,-122.61174
410050222081092,45.456173,-122.51321
410050222081022,45.456177,-122.51173
410050222062002,45.460503,-122.56377
410050201001062,45.428261,-122.69928
410050222012008,45.450035,-122.57725
410050201001033,45.432537,-122.66373
410050201001032,45.432304,-122.66294
410050201001036,45.431789,-122.66358
410050201001027,45.432159,-122.66138
410050201001034,45.43185,-122.6601
410050201001026,45.430794,-122.66202
410050201001047,45.431644,-122.69453
410050201001095,45.432343,-122.69888
410050201001035,45.431572,-122.66542
410050222082015,45.45932,-122.52405
410050210001017,45.457958,-122.60114
410050222062006,45.458763,-122.5576
410050222082003,45.460274,-122.51654
410050222082001,45.461067,-122.51599
410050210002000,45.461407,-122.60665
410050210001003,45.461353,-122.60617
410050222081042,45.44735,-122.48759
410050222082005,45.454891,-122.5157
410050203032005,45.429207,-122.70539
410050203032006,45.429115,-122.70498
410050203032007,45.428173,-122.70536
410050201002009,45.424728,-122.6647
410050201002023,45.424976,-122.6741
410050201001008,45.429527,-122.65797
410050216011004,45.457779,-122.58279
410050222062043,45.447857,-122.54128
410050201001011,45.428043,-122.66222
410050222082033,45.45137,-122.52572
410050222082027,45.454163,-122.53905
410050216012012,45.452011,-122.59178
410050222062027,45.453053,-122.56484
410050222062026,45.454849,-122.55988
410050222062003,45.456833,-122.55777
410050222062004,45.45586,-122.55984
410050222062005,45.457428,-122.55853
410050201001073,45.426712,-122.69791
410050208001032,45.45166,-122.65086
410050208002031,45.443157,-122.62712
410050208002030,45.441807,-122.62644
410050208001051,45.447227,-122.63309
410050208002032,45.443394,-122.6262
410050208002033,45.439796,-122.62583
410050208003007,45.439018,-122.63771
410050210001012,45.457207,-122.60325
410050210001025,45.455593,-122.60324
410050215001015,45.438343,-122.62018
410050222011010,45.458038,-122.57305
410050222081006,45.460251,-122.50256
410050201002037,45.424427,-122.66914
410050222081008,45.459698,-122.50336
410050216014009,45.461121,-122.59665
410050216014008,45.461128,-122.59642
410050216014007,45.46114,-122.59559
410050216014011,45.461109,-122.59742
410050209001003,45.460682,-122.6188
410050201001069,45.430721,-122.70105
410050222061007,45.444862,-122.5695
410050208001040,45.44701,-122.64291
410050201001077,45.424969,-122.70031
410050203041015,45.431381,-122.73553
410050208001020,45.455685,-122.64321
410050201001044,45.431171,-122.68056
410050203042002,45.432926,-122.72964
410050222061004,45.454018,-122.57285
410050209002000,45.456764,-122.62422
410050210001034,45.452412,-122.60244
410050216011007,45.455551,-122.58265
410050216011006,45.45623,-122.58287
410050222062021,45.45332,-122.55412
410050203042005,45.4286,-122.7318
410050203042007,45.428051,-122.72811
410050203042001,45.432804,-122.72763
410050203042004,45.431412,-122.7322
410050222062001,45.459309,-122.5583
410050222082014,45.458736,-122.52596
410050222061014,45.454071,-122.5722
410050203032003,45.430275,-122.70538
410050222082035,45.453178,-122.5257
410050209003003,45.452591,-122.62722
410050222082026,45.454212,-122.53686
410050222062035,45.451359,-122.54413
410050232012025,45.456596,-122.47191
410050232012026,45.453442,-122.47018
410050201002035,45.424294,-122.66792
410050203033007,45.42662,-122.71399
410050222062007,45.457535,-122.56818
410050203041016,45.425388,-122.73889
410050211002015,45.441338,-122.61368
410050216012001,45.452492,-122.58066
410050203041019,45.427574,-122.73698
410050203041012,45.428215,-122.73705
410050210001043,45.450798,-122.60415
410050210001040,45.45171,-122.60375
410050203041030,45.426266,-122.74251
410050203042003,45.429893,-122.73111
410050203031008,45.427059,-122.72189
410050203041018,45.424034,-122.73524
410050203033006,45.426105,-122.70947
410050203041017,45.423866,-122.73822
410050203033004,45.42712,-122.70776
410050201001058,45.429344,-122.69033
410050201001092,45.428345,-122.68532
410050209001023,45.458927,-122.62507
410050210001010,45.456638,-122.6069
410050210001013,45.457333,-122.60329
410050210002022,45.454453,-122.60737
410050210002023,45.453926,-122.60517
410050210002017,45.451588,-122.6112
410050222082034,45.452347,-122.52437
410050203042006,45.429592,-122.73275
410050222062013,45.456108,-122.54308
410050222082019,45.45602,-122.53532
410050215001020,45.435261,-122.6218
410050222082029,45.452248,-122.51649
410050215001021,45.436104,-122.62365
410050215001019,45.434765,-122.62018
410050208003021,45.435043,-122.63068
410050203032009,45.431091,-122.71169
410050201002020,45.425198,-122.67955
410050201002019,45.426666,-122.67883
410050208001050,45.447723,-122.63457
410050208002029,45.441021,-122.62653
410050208003010,45.43755,-122.63554
410050222062008,45.454327,-122.54933
410050222062032,45.450455,-122.56178
410050222062047,45.45047,-122.5629
410050222081041,45.452503,-122.49587
410050222062046,45.450558,-122.56475
410050222061024,45.450382,-122.56371
410050222061030,45.448162,-122.56242
410050222061023,45.450405,-122.5648
410050222081007,45.46085,-122.50275
410050222081037,45.451412,-122.49268
410050222081033,45.448437,-122.50052
410050222081001,45.458153,-122.49445
410050222081012,45.456692,-122.48846
410050232012029,45.452908,-122.48595
410050222061028,45.446136,-122.55984
410050216014001,45.461311,-122.58523
410050201001054,45.430679,-122.69425
410050201001072,45.42963,-122.70202
410050201001049,45.432964,-122.69735
410050201001079,45.429695,-122.69996
410050201001066,45.43182,-122.70113
410050201001046,45.431751,-122.6939
410050201001048,45.432125,-122.69615
410050201001080,45.423923,-122.69469
410050201001074,45.427105,-122.69873
410050201001055,45.431061,-122.69284
410050201001053,45.430077,-122.69479
410050201001086,45.427082,-122.69566
410050222061021,45.449226,-122.56606
410050222081024,45.455299,-122.51037
410050222081093,45.454857,-122.51376
410050222081094,45.455227,-122.51237
410050222081034,45.454609,-122.51039
410050222081025,45.453842,-122.51081
410050222081016,45.452587,-122.51221
410050201001063,45.428215,-122.69889
410050201001082,45.424759,-122.69283
410050201001083,45.42482,-122.69173
