OID_,GEOID,INTPTLAT,NAME,COALIT,INTPTLON,COUNT,SUM_SQ_FT
9646,410510042003020,+45.5924058,ST. JOHNS,NPNS,-122.7576658,3.000000000000000,17618.000000000000000
9647,410510011011113,+45.5147135,BUCKMAN,SEUL,-122.6551839,2.000000000000000,32980.000000000000000
9648,410510061002005,+45.4806535,HILLSDALE,SWCS,-122.6939294,19.000000000000000,35121.000000000000000
9649,410510089021011,+45.4623159,LENTS,EPCO,-122.5733080,21.000000000000000,27692.000000000000000
9650,410510084003003,+45.4932968,POWELLHURST-GILBERT,EPCO,-122.5411507,123.000000000000000,201415.000000000000000
9651,410510018012015,+45.5247645,NORTH TABOR,SEUL,-122.5963973,25.000000000000000,37361.000000000000000
9652,410510021022014,+45.5196975,BUCKMAN,SEUL,-122.6531205,6.000000000000000,29512.000000000000000
9653,410510021012009,+45.5247163,KERNS,SEUL,-122.6612094,2.000000000000000,19368.000000000000000
9654,410510064023001,+45.4371589,ARNOLD CREEK,SWCS,-122.6907840,25.000000000000000,61746.000000000000000
9655,410510066021000,+45.4704708,HILLSDALE,SWCS,-122.6905749,3.000000000000000,94225.000000000000000
9656,410510068022015,+45.4846154,HILLSDALE,SWCS,-122.7089623,12.000000000000000,29727.000000000000000
9657,410510061002012,+45.4795714,HILLSDALE,SWCS,-122.6933927,9.000000000000000,51610.000000000000000
9658,410510069002019,+45.5007238,BRIDLEMILE/SOUTHWEST HILLS,SWCS/NWNW,-122.7282611,21.000000000000000,43901.000000000000000
9659,410510067022016,+45.4773083,HAYHURST,SWCS,-122.7166245,45.000000000000000,109573.000000000000000
9660,410510092023015,+45.5062966,CENTENNIAL,EPCO,-122.5166423,49.000000000000000,102301.000000000000000
9661,410510068021011,+45.4955782,BRIDLEMILE,SWCS,-122.7133792,32.000000000000000,87468.000000000000000
9662,410510006014001,+45.4892618,LENTS,EPCO,-122.5750900,40.000000000000000,53608.000000000000000
9663,410510020021006,+45.5289200,KERNS,SEUL,-122.6418958,6.000000000000000,20667.000000000000000
9664,410510064021003,+45.4561629,MARKHAM,SWCS,-122.7060684,24.000000000000000,50615.000000000000000
9665,410510062001011,+45.4653600,SOUTH BURLINGAME,SWCS,-122.6831036,15.000000000000000,30021.000000000000000
9666,410510091011001,+45.5004550,CENTENNIAL,EPCO,-122.5120941,79.000000000000000,202753.000000000000000
9667,410510067011018,+45.4794572,HAYHURST,SWCS,-122.7310968,36.000000000000000,71338.000000000000000
9668,410510011011051,+45.5161466,BUCKMAN,SEUL,-122.6581933,3.000000000000000,24357.000000000000000
9669,410510025024017,+45.5360915,IRVINGTON,NECN,-122.6457340,14.000000000000000,32265.000000000000000
9670,410510090023003,+45.4957673,POWELLHURST-GILBERT,EPCO,-122.5345707,113.000000000000000,288437.000000000000000
9671,410510082033005,+45.5164257,MILL PARK,EPCO,-122.5514648,103.000000000000000,355086.000000000000000
9672,410510025021000,+45.5383930,GRANT PARK,CNN,-122.6319458,43.000000000000000,50436.000000000000000
9673,410510024022005,+45.5335888,SULLIVAN'S GULCH,NECN,-122.6499371,3.000000000000000,55146.000000000000000
9674,410510040031009,+45.5879214,PORTSMOUTH,NPNS,-122.7150496,10.000000000000000,38001.000000000000000
9675,410510021023017,+45.5225360,BUCKMAN,SEUL,-122.6490435,3.000000000000000,22869.000000000000000
9676,410510021023024,+45.5211066,BUCKMAN,SEUL,-122.6480392,15.000000000000000,12432.000000000000000
9677,410510018021015,+45.5211924,NORTH TABOR,SEUL,-122.6155699,80.000000000000000,85474.000000000000000
9678,410510061001008,+45.4869424,HILLSDALE,SWCS,-122.7022727,34.000000000000000,65901.000000000000000
9679,410510064021001,+45.4555079,MARKHAM,SWCS,-122.7091670,60.000000000000000,146400.000000000000000
9680,410510067021008,+45.4793219,HAYHURST,SWCS,-122.7086059,16.000000000000000,25242.000000000000000
9681,410510012032006,+45.5139757,BUCKMAN,SEUL,-122.6480871,12.000000000000000,14843.000000000000000
9682,410510066022010,+45.4685975,MULTNOMAH,SWCS,-122.7141114,17.000000000000000,37506.000000000000000
9683,410510082031016,+45.5179714,MILL PARK,EPCO,-122.5390611,23.000000000000000,85178.000000000000000
9684,410510005023018,+45.4760341,MT. SCOTT-ARLETA,SEUL,-122.5829249,11.000000000000000,10396.000000000000000
9685,410510017021022,+45.5272115,MONTAVILLA,SEUL,-122.5744278,9.000000000000000,30399.000000000000000
9686,410510004022034,+45.4824358,MT. SCOTT-ARLETA,SEUL,-122.6011783,9.000000000000000,8114.000000000000000
9687,410510089031013,+45.4704078,PLEASANT VALLEY,EPCO,-122.4998804,9.000000000000000,23888.000000000000000
9688,410510038013007,+45.5820462,KENTON,NPNS,-122.6907323,46.000000000000000,48901.000000000000000
9689,410510093022015,+45.5253841,HAZELWOOD,EPCO,-122.5241711,23.000000000000000,38789.000000000000000
9690,410510037021033,+45.5670762,PIEDMONT,NPNS,-122.6655395,12.000000000000000,13519.000000000000000
9691,410510029032014,+45.5357656,MADISON SOUTH,CNN,-122.5720068,21.000000000000000,24385.000000000000000
9692,410510007014008,+45.5035994,SOUTH TABOR,SEUL,-122.5979975,13.000000000000000,11544.000000000000000
9693,410510094004020,+45.5423924,RUSSELL,EPCO,-122.5342774,34.000000000000000,54609.000000000000000
9694,410510089031008,+45.4778282,PLEASANT VALLEY,EPCO,-122.5034944,16.000000000000000,34083.000000000000000
9695,410510013023014,+45.5077579,RICHMOND,SEUL,-122.6342271,15.000000000000000,16480.000000000000000
9696,410510004022016,+45.4834527,MT. SCOTT-ARLETA,SEUL,-122.6008572,28.000000000000000,31757.000000000000000
