OID_,GEOID,INTPTLAT,INTPTLON,COUNT,SUM_SQ_FT
198,410510106001027,+45.5202102,-122.6814369,1.000000000000000,40392.000000000000000
199,410510040024077,+45.5770135,-122.7278110,6.000000000000000,6825.000000000000000
200,410510017021013,+45.5300648,-122.5725547,37.000000000000000,105024.000000000000000
201,410510067022010,+45.4806019,-122.7179597,28.000000000000000,41661.000000000000000
202,410510014002007,+45.5137228,-122.6146082,39.000000000000000,45551.000000000000000
203,410510067021006,+45.4782289,-122.7009168,19.000000000000000,58190.000000000000000
204,410510043001138,+45.5451136,-122.6966259,1.000000000000000,57482.000000000000000
205,410510102003107,+45.5577570,-122.5052675,7.000000000000000,253487.000000000000000
206,410050208001044,+45.4563873,-122.6479572,5.000000000000000,7004.000000000000000
207,410510036031021,+45.5691274,-122.6281155,29.000000000000000,34001.000000000000000
208,410510036012031,+45.5744669,-122.6509045,16.000000000000000,22367.000000000000000
209,410510037011025,+45.5754611,-122.6623513,23.000000000000000,27779.000000000000000
210,410050201002041,+45.4247008,-122.6716209,10.000000000000000,13476.000000000000000
211,410510036014004,+45.5678163,-122.6596215,8.000000000000000,9809.000000000000000
212,410510066022021,+45.4693336,-122.7074955,16.000000000000000,27554.000000000000000
213,410510018022018,+45.5180123,-122.6073676,19.000000000000000,24262.000000000000000
214,410050222061046,+45.4546653,-122.5692022,1.000000000000000,10737.000000000000000
215,410510039014019,+45.5815810,-122.7089005,15.000000000000000,20686.000000000000000
216,410510046021043,+45.5095456,-122.7005046,20.000000000000000,65380.000000000000000
217,410510037023021,+45.5651883,-122.6723460,13.000000000000000,17026.000000000000000
218,410510106003058,+45.5153858,-122.6776727,1.000000000000000,249.000000000000000
219,410050222081041,+45.4525013,-122.4958748,1.000000000000000,1535.000000000000000
220,410510008024006,+45.4945309,-122.6181719,16.000000000000000,18592.000000000000000
221,410510040024052,+45.5808665,-122.7241018,5.000000000000000,5129.000000000000000
222,410510040024038,+45.5812250,-122.7263170,7.000000000000000,9893.000000000000000
223,410510064041024,+45.4376132,-122.7112703,22.000000000000000,51798.000000000000000
224,410510027022010,+45.5334341,-122.6216272,2.000000000000000,43141.000000000000000
225,410510082011012,+45.5194077,-122.5629841,3.000000000000000,15890.000000000000000
226,410050211003009,+45.4469346,-122.6105454,38.000000000000000,58365.000000000000000
227,410510036023027,+45.5674163,-122.6495023,39.000000000000000,38062.000000000000000
228,410510099033018,+45.4809162,-122.4870833,21.000000000000000,41749.000000000000000
229,410510029034005,+45.5484813,-122.5725657,16.000000000000000,32271.000000000000000
230,410510005023022,+45.4763224,-122.5798468,10.000000000000000,9771.000000000000000
231,410510037014024,+45.5761510,-122.6737865,29.000000000000000,32580.000000000000000
232,410510039022017,+45.5636542,-122.6969019,14.000000000000000,15500.000000000000000
233,410510079002015,+45.5477638,-122.5449747,30.000000000000000,70087.000000000000000
234,410050216014010,+45.4611138,-122.5983148,17.000000000000000,19819.000000000000000
235,410510094004008,+45.5443387,-122.5292416,20.000000000000000,46549.000000000000000
236,410510001004010,+45.4611130,-122.6520080,28.000000000000000,33273.000000000000000
237,410510009012008,+45.4994382,-122.6232308,17.000000000000000,15497.000000000000000
238,410510046021026,+45.5107634,-122.6945931,4.000000000000000,11030.000000000000000
239,410510088003003,+45.4675935,-122.6060618,29.000000000000000,31135.000000000000000
240,410510029034015,+45.5412012,-122.5751985,20.000000000000000,58477.000000000000000
241,410510031002053,+45.5558671,-122.6376568,6.000000000000000,6481.000000000000000
242,410050203032013,+45.4285145,-122.7087589,30.000000000000000,64983.000000000000000
243,410050222062034,+45.4506303,-122.5541915,76.000000000000000,238396.000000000000000
244,410510037013023,+45.5709877,-122.6693288,34.000000000000000,41909.000000000000000
245,410050203041003,+45.4329949,-122.7404603,5.000000000000000,9016.000000000000000
246,410510034013019,+45.5552484,-122.6716962,24.000000000000000,28008.000000000000000
247,410510034013015,+45.5564456,-122.6715566,11.000000000000000,11473.000000000000000
248,410510106001040,+45.5200118,-122.6806792,4.000000000000000,20746.000000000000000
249,410510040021025,+45.5742606,-122.7221108,10.000000000000000,8622.000000000000000
250,410050211002001,+45.4476818,-122.6156864,17.000000000000000,31667.000000000000000
251,410510106002003,+45.5178103,-122.6810105,5.000000000000000,40234.000000000000000
252,410510031001043,+45.5596617,-122.6325058,11.000000000000000,14319.000000000000000
253,410510036022032,+45.5665648,-122.6408186,7.000000000000000,7796.000000000000000
254,410510036021060,+45.5635779,-122.6335955,16.000000000000000,19400.000000000000000
255,410050208003009,+45.4399143,-122.6361390,36.000000000000000,78712.000000000000000
256,410050216014000,+45.4613503,-122.5845798,2.000000000000000,3727.000000000000000
257,410519800001052,+45.5663767,-122.7186439,5.000000000000000,71588.000000000000000
258,410510079001006,+45.5577705,-122.5491346,12.000000000000000,11367.000000000000000
259,410510032002013,+45.5570201,-122.6453387,26.000000000000000,27469.000000000000000
260,410510091022000,+45.4951893,-122.5036104,48.000000000000000,85122.000000000000000
261,410050210002021,+45.4565351,-122.6106462,34.000000000000000,55763.000000000000000
262,410510006023007,+45.4766629,-122.5759627,29.000000000000000,31884.000000000000000
263,410510011021059,+45.5078108,-122.6528101,19.000000000000000,21418.000000000000000
264,410510011012002,+45.5186264,-122.6526204,2.000000000000000,32618.000000000000000
265,410510072021296,+45.6211339,-122.7890572,1.000000000000000,33146.000000000000000
266,410510031003007,+45.5548724,-122.6384249,28.000000000000000,22452.000000000000000
267,410050210002015,+45.4559286,-122.6178482,35.000000000000000,71861.000000000000000
268,410510021001106,+45.5240305,-122.6511950,2.000000000000000,8829.000000000000000
269,410050222062009,+45.4603880,-122.5662648,33.000000000000000,69252.000000000000000
270,410510080012013,+45.5338134,-122.5503292,10.000000000000000,32855.000000000000000
271,410050216011009,+45.4550878,-122.5855437,85.000000000000000,259679.000000000000000
272,410510076001024,+45.5566691,-122.5878783,59.000000000000000,91785.000000000000000
273,410510018021009,+45.5224522,-122.6067284,2.000000000000000,41945.000000000000000
274,410050201001055,+45.4310592,-122.6928374,4.000000000000000,8886.000000000000000
275,410510057002008,+45.5119179,-122.6761777,2.000000000000000,41437.000000000000000
276,410050201001085,+45.4272226,-122.6908049,11.000000000000000,26710.000000000000000
277,410510011021024,+45.5107819,-122.6524744,26.000000000000000,28463.000000000000000
278,410510010004006,+45.4931315,-122.6563937,16.000000000000000,16339.000000000000000
279,410510039023011,+45.5752438,-122.6990358,12.000000000000000,11447.000000000000000
280,410510024011014,+45.5459430,-122.6478160,22.000000000000000,29607.000000000000000
281,410510010003011,+45.5045097,-122.6522130,13.000000000000000,15862.000000000000000
282,410050201001082,+45.4247582,-122.6928261,2.000000000000000,4247.000000000000000
283,410510032004017,+45.5513208,-122.6457437,21.000000000000000,18718.000000000000000
284,410050208001023,+45.4582187,-122.6499157,15.000000000000000,34911.000000000000000
285,410510070004008,+45.5413157,-122.7787812,9.000000000000000,11278.000000000000000
286,410050209001019,+45.4596379,-122.6313382,28.000000000000000,29627.000000000000000
287,410510017023032,+45.5197070,-122.5724895,12.000000000000000,29292.000000000000000
288,410510006022010,+45.4713329,-122.5774814,29.000000000000000,36277.000000000000000
289,410050201001093,+45.4239989,-122.6819528,17.000000000000000,47293.000000000000000
290,410510066023031,+45.4699931,-122.7090031,38.000000000000000,45981.000000000000000
291,410050222081043,+45.4593733,-122.5055263,19.000000000000000,27867.000000000000000
292,410510003024041,+45.4623118,-122.6185028,1.000000000000000,565.000000000000000
293,410050216012004,+45.4524967,-122.5839081,23.000000000000000,22556.000000000000000
294,410510036021020,+45.5675082,-122.6309198,17.000000000000000,14279.000000000000000
295,410050210002006,+45.4592599,-122.6117363,30.000000000000000,120214.000000000000000
296,410510037022007,+45.5657867,-122.6655495,12.000000000000000,15129.000000000000000
297,410510036012046,+45.5733407,-122.6550954,21.000000000000000,23917.000000000000000
298,410510037021034,+45.5670785,-122.6660765,9.000000000000000,14418.000000000000000
299,410510106002014,+45.5166054,-122.6793561,1.000000000000000,31490.000000000000000
300,410510062002021,+45.4670796,-122.6871607,24.000000000000000,34725.000000000000000
301,410510032001011,+45.5609425,-122.6462840,25.000000000000000,24174.000000000000000
302,410510025016000,+45.5474652,-122.6395849,23.000000000000000,24263.000000000000000
303,410510039021005,+45.5763211,-122.6939610,15.000000000000000,17680.000000000000000
304,410510011011183,+45.5125735,-122.6551965,2.000000000000000,18822.000000000000000
305,410050215001019,+45.4347648,-122.6201817,24.000000000000000,58785.000000000000000
306,410510051002028,+45.5255670,-122.6760080,5.000000000000000,40409.000000000000000
307,410510058001021,+45.5072301,-122.6952690,8.000000000000000,23569.000000000000000
308,410510011021054,+45.5079081,-122.6514214,23.000000000000000,28161.000000000000000
309,410510032002007,+45.5583937,-122.6482556,24.000000000000000,28862.000000000000000
310,410510092022011,+45.5048763,-122.5131990,41.000000000000000,75681.000000000000000
311,410510004022014,+45.4840558,-122.6034148,18.000000000000000,16050.000000000000000
312,410510037022017,+45.5645137,-122.6660965,11.000000000000000,16815.000000000000000
313,410510097012008,+45.5104094,-122.5044655,31.000000000000000,52171.000000000000000
314,410510010002012,+45.4991633,-122.6475150,6.000000000000000,12326.000000000000000
315,410510081002005,+45.5251113,-122.5567794,32.000000000000000,40156.000000000000000
316,410510033022035,+45.5488715,-122.6561960,18.000000000000000,25090.000000000000000
317,410510099033026,+45.4765191,-122.4799233,17.000000000000000,24494.000000000000000
318,410510036014028,+45.5630646,-122.6574099,30.000000000000000,40661.000000000000000
319,410510006011009,+45.4883956,-122.5679721,13.000000000000000,19398.000000000000000
320,410510020005004,+45.5275384,-122.6381743,10.000000000000000,24013.000000000000000
321,410510012014020,+45.5160920,-122.6413212,29.000000000000000,39910.000000000000000
322,410510043001016,+45.6029533,-122.7835399,1.000000000000000,11588.000000000000000
323,410510083011028,+45.4905031,-122.5690645,11.000000000000000,14290.000000000000000
324,410510006023001,+45.4765415,-122.5701496,28.000000000000000,32703.000000000000000
325,410510089012010,+45.4733972,-122.5287479,95.000000000000000,178800.000000000000000
326,410510022032001,+45.5478755,-122.6628363,29.000000000000000,32980.000000000000000
327,410510051002058,+45.5234659,-122.6738988,5.000000000000000,25241.000000000000000
328,410510033022028,+45.5501480,-122.6600885,29.000000000000000,26191.000000000000000
329,410510031003029,+45.5510131,-122.6311938,27.000000000000000,30424.000000000000000
330,410510070002055,+45.5363740,-122.7522158,4.000000000000000,13907.000000000000000
331,410510033011014,+45.5570424,-122.6512108,24.000000000000000,26701.000000000000000
332,410510025021001,+45.5384048,-122.6338631,22.000000000000000,26836.000000000000000
333,410510001004012,+45.4611134,-122.6480376,10.000000000000000,35044.000000000000000
334,410510025024013,+45.5361053,-122.6396135,10.000000000000000,15677.000000000000000
335,410510009014015,+45.5027379,-122.6320501,25.000000000000000,30936.000000000000000
336,410510043001019,+45.6059686,-122.7904714,1.000000000000000,218.000000000000000
337,410510081004005,+45.5331479,-122.5551652,16.000000000000000,68684.000000000000000
338,410510102003108,+45.5589576,-122.5073974,2.000000000000000,26048.000000000000000
339,410510051002056,+45.5234862,-122.6718598,5.000000000000000,30752.000000000000000
340,410510072021221,+45.5875065,-122.6645155,3.000000000000000,3214.000000000000000
341,410510033011017,+45.5577600,-122.6541462,17.000000000000000,18889.000000000000000
342,410510009014010,+45.5026133,-122.6368752,33.000000000000000,43655.000000000000000
343,410510012011018,+45.5153640,-122.6354330,12.000000000000000,20689.000000000000000
344,410510085002005,+45.4875968,-122.5534698,44.000000000000000,69270.000000000000000
345,410510098033019,+45.4991055,-122.4767669,32.000000000000000,62282.000000000000000
346,410510064031015,+45.4421735,-122.7200700,12.000000000000000,21488.000000000000000
347,410510099034012,+45.4782861,-122.4622844,13.000000000000000,27952.000000000000000
348,410510092012002,+45.5203405,-122.5288228,33.000000000000000,40654.000000000000000
349,410510010002029,+45.4956382,-122.6451116,4.000000000000000,21102.000000000000000
350,410510093012006,+45.5228075,-122.5053492,11.000000000000000,18741.000000000000000
351,410510003012029,+45.4762275,-122.6384358,13.000000000000000,18817.000000000000000
352,410510006024009,+45.4783586,-122.5710749,30.000000000000000,36393.000000000000000
353,410510003012025,+45.4820126,-122.6346895,3.000000000000000,10976.000000000000000
