OID_,geoid,intptlat,intptlon,NAME,COALIT
455,410050222062002.000000000000000,45.460502624511719,-122.563774108886719,LENTS,EPCO
470,410050222082003.000000000000000,45.460273742675781,-122.516540527343750,PLEASANT VALLEY,EPCO
471,410050222082001.000000000000000,45.461067199707031,-122.515991210937500,PLEASANT VALLEY,EPCO
472,410050210002000.000000000000000,45.461406707763672,-122.606651306152344,BRENTWOOD-DARLINGTON,SEUL
473,410050210001003.000000000000000,45.461353302001953,-122.606170654296875,BRENTWOOD-DARLINGTON,SEUL
508,410050216014009.000000000000000,45.461120605468750,-122.596649169921875,BRENTWOOD-DARLINGTON,SEUL
509,410050216014008.000000000000000,45.461128234863281,-122.596420288085938,BRENTWOOD-DARLINGTON,SEUL
510,410050216014007.000000000000000,45.461139678955078,-122.595588684082031,BRENTWOOD-DARLINGTON,SEUL
511,410050216014011.000000000000000,45.461109161376953,-122.597419738769531,BRENTWOOD-DARLINGTON,SEUL
522,410050209002000.000000000000000,45.456764221191406,-122.624221801757812,ARDENWALD-JOHNSON CREEK,SEUL
536,410050209003003.000000000000000,45.452590942382812,-122.627220153808594,ARDENWALD-JOHNSON CREEK,SEUL
560,410050209001023.000000000000000,45.458927154541016,-122.625068664550781,ARDENWALD-JOHNSON CREEK,SEUL
629,410050209001021.000000000000000,45.458827972412109,-122.627677917480469,ARDENWALD-JOHNSON CREEK,SEUL
644,410050211001003.000000000000000,45.447353363037109,-122.626708984375000,ARDENWALD-JOHNSON CREEK,SEUL
659,410050209001006.000000000000000,45.459533691406250,-122.621551513671875,ARDENWALD-JOHNSON CREEK,SEUL
667,410050209002001.000000000000000,45.457725524902344,-122.624397277832031,ARDENWALD-JOHNSON CREEK,SEUL
669,410050211001015.000000000000000,45.444553375244141,-122.625816345214844,ARDENWALD-JOHNSON CREEK,SEUL
681,410050209001010.000000000000000,45.460788726806641,-122.628471374511719,ARDENWALD-JOHNSON CREEK,SEUL
683,410050209001019.000000000000000,45.459636688232422,-122.631340026855469,ARDENWALD-JOHNSON CREEK,SEUL
684,410050209003011.000000000000000,45.447128295898438,-122.630760192871094,ARDENWALD-JOHNSON CREEK,SEUL
686,410050209002005.000000000000000,45.456146240234375,-122.634048461914062,ARDENWALD-JOHNSON CREEK,SEUL
693,410050222082036.000000000000000,45.460296630859375,-122.515655517578125,PLEASANT VALLEY,EPCO
695,410050209003010.000000000000000,45.452163696289062,-122.621192932128906,ARDENWALD-JOHNSON CREEK,SEUL
696,410050209003002.000000000000000,45.452587127685547,-122.624031066894531,ARDENWALD-JOHNSON CREEK,SEUL
720,410050208001043.000000000000000,45.456470489501953,-122.649597167968750,SELLWOOD-MORELAND,SEUL
728,410050209002002.000000000000000,45.457405090332031,-122.628021240234375,ARDENWALD-JOHNSON CREEK,SEUL
729,410050209001018.000000000000000,45.459671020507812,-122.632339477539062,ARDENWALD-JOHNSON CREEK,SEUL
730,410050211001017.000000000000000,45.446365356445312,-122.630065917968750,ARDENWALD-JOHNSON CREEK,SEUL
733,410050222082004.000000000000000,45.459648132324219,-122.515052795410156,PLEASANT VALLEY,EPCO
748,410510018013037.000000000000000,45.523235321044922,-122.605903625488281,NORTH TABOR,SEUL
749,410510015003004.000000000000000,45.515987396240234,-122.611900329589844,MT. TABOR,SEUL
750,410510015003002.000000000000000,45.515983581542969,-122.609359741210938,MT. TABOR,SEUL
751,410510018022020.000000000000000,45.517009735107422,-122.608345031738281,MT. TABOR,SEUL
752,410510015003007.000000000000000,45.514831542968750,-122.609779357910156,MT. TABOR,SEUL
753,410510070003008.000000000000000,45.602638244628906,-122.864669799804688,FOREST PARK,NWNW
754,410510015003001.000000000000000,45.515979766845703,-122.608345031738281,MT. TABOR,SEUL
755,410510018022004.000000000000000,45.518913269042969,-122.607383728027344,MT. TABOR,SEUL
756,410510018022017.000000000000000,45.518020629882812,-122.608345031738281,MT. TABOR,SEUL
757,410510018021022.000000000000000,45.520992279052734,-122.606254577636719,MT. TABOR,SEUL
758,410510018021023.000000000000000,45.520305633544922,-122.606262207031250,MT. TABOR,SEUL
759,410510018021019.000000000000000,45.519611358642578,-122.606262207031250,MT. TABOR,SEUL
760,410510018022018.000000000000000,45.518013000488281,-122.607368469238281,MT. TABOR,SEUL
761,410510018022003.000000000000000,45.518352508544922,-122.605567932128906,MT. TABOR,SEUL
762,410510018022002.000000000000000,45.518009185791016,-122.603134155273438,MT. TABOR,SEUL
763,410510015003000.000000000000000,45.515979766845703,-122.607322692871094,MT. TABOR,SEUL
764,410510018022022.000000000000000,45.517093658447266,-122.605537414550781,MT. TABOR,SEUL
765,410510015001000.000000000000000,45.516403198242188,-122.604469299316406,MT. TABOR,SEUL
766,410510018011003.000000000000000,45.528190612792969,-122.603523254394531,NORTH TABOR,SEUL
767,410510018011004.000000000000000,45.527408599853516,-122.606979370117188,ROSE CITY PARK,CNN
768,410510102003111.000000000000000,45.557556152343750,-122.496078491210938,WILKES,EPCO
769,410510018012008.000000000000000,45.526100158691406,-122.603271484375000,NORTH TABOR,SEUL
770,410510018012009.000000000000000,45.525375366210938,-122.603279113769531,NORTH TABOR,SEUL
771,410510018012021.000000000000000,45.524646759033203,-122.603294372558594,NORTH TABOR,SEUL
772,410510018021006.000000000000000,45.522228240966797,-122.603134155273438,MT. TABOR,SEUL
773,410510003024048.000000000000000,45.462162017822266,-122.635185241699219,ARDENWALD-JOHNSON CREEK,SEUL
774,410510018021008.000000000000000,45.522453308105469,-122.605445861816406,MT. TABOR,SEUL
775,410510018012022.000000000000000,45.523574829101562,-122.603805541992188,NORTH TABOR,SEUL
776,410510018012020.000000000000000,45.523571014404297,-122.602798461914062,NORTH TABOR,SEUL
777,410510018011015.000000000000000,45.529182434082031,-122.600227355957031,NORTH TABOR,SEUL
778,410510018011024.000000000000000,45.527767181396484,-122.601745605468750,NORTH TABOR,SEUL
779,410510018011025.000000000000000,45.526851654052734,-122.600967407226562,NORTH TABOR,SEUL
780,410510018012007.000000000000000,45.526153564453125,-122.601562500000000,NORTH TABOR,SEUL
781,410510018012010.000000000000000,45.524993896484375,-122.601570129394531,NORTH TABOR,SEUL
782,410510018011023.000000000000000,45.527767181396484,-122.600761413574219,NORTH TABOR,SEUL
783,410510018011022.000000000000000,45.528667449951172,-122.599533081054688,NORTH TABOR,SEUL
784,410510018011027.000000000000000,45.527744293212891,-122.599166870117188,NORTH TABOR,SEUL
785,410510018012011.000000000000000,45.523513793945312,-122.600242614746094,NORTH TABOR,SEUL
786,410510018021005.000000000000000,45.521053314208984,-122.601699829101562,MT. TABOR,SEUL
787,410510018021004.000000000000000,45.522418975830078,-122.600318908691406,MT. TABOR,SEUL
788,410510018021020.000000000000000,45.520450592041016,-122.603660583496094,MT. TABOR,SEUL
789,410510018021024.000000000000000,45.520614624023438,-122.600334167480469,MT. TABOR,SEUL
790,410510015001003.000000000000000,45.515468597412109,-122.603385925292969,MT. TABOR,SEUL
791,410510018022000.000000000000000,45.518005371093750,-122.600708007812500,MT. TABOR,SEUL
792,410510003024047.000000000000000,45.463867187500000,-122.628479003906250,ARDENWALD-JOHNSON CREEK,SEUL
793,410510016014001.000000000000000,45.515151977539062,-122.597579956054688,MT. TABOR,SEUL
794,410510016016021.000000000000000,45.517086029052734,-122.598602294921875,MT. TABOR,SEUL
795,410510016016016.000000000000000,45.518188476562500,-122.599166870117188,MT. TABOR,SEUL
796,410510076001021.000000000000000,45.563045501708984,-122.592559814453125,CULLY,CNN
797,410510075001009.000000000000000,45.560966491699219,-122.597640991210938,CULLY,CNN
798,410510075001010.000000000000000,45.559906005859375,-122.598953247070312,CULLY,CNN
799,410510075001016.000000000000000,45.559398651123047,-122.598373413085938,CULLY,CNN
800,410510075001017.000000000000000,45.558712005615234,-122.598670959472656,CULLY,CNN
801,410510075001019.000000000000000,45.557926177978516,-122.599037170410156,CULLY,CNN
802,410510076002014.000000000000000,45.557453155517578,-122.598175048828125,CULLY,CNN
803,410510076002004.000000000000000,45.560260772705078,-122.593894958496094,CULLY,CNN
804,410510076002013.000000000000000,45.558582305908203,-122.597732543945312,CULLY,CNN
805,410510076002015.000000000000000,45.557495117187500,-122.596260070800781,CULLY,CNN
806,410510076002012.000000000000000,45.558635711669922,-122.596252441406250,CULLY,CNN
807,410510076002011.000000000000000,45.558628082275391,-122.594223022460938,CULLY,CNN
808,410510029014009.000000000000000,45.553161621093750,-122.598808288574219,ROSEWAY,CNN
809,410510029014005.000000000000000,45.554656982421875,-122.597793579101562,ROSEWAY,CNN
810,410510076002020.000000000000000,45.556129455566406,-122.596260070800781,CULLY,CNN
811,410510029014004.000000000000000,45.554656982421875,-122.596778869628906,ROSEWAY,CNN
812,410510076002021.000000000000000,45.556125640869141,-122.594230651855469,CULLY,CNN
813,410510029014011.000000000000000,45.553161621093750,-122.596794128417969,ROSEWAY,CNN
814,410510003025012.000000000000000,45.468479156494141,-122.629310607910156,EASTMORELAND,SEUL
815,410510029014002.000000000000000,45.553955078125000,-122.594245910644531,ROSEWAY,CNN
816,410510029014012.000000000000000,45.553161621093750,-122.595779418945312,ROSEWAY,CNN
817,410510029014001.000000000000000,45.554653167724609,-122.592720031738281,ROSEWAY,CNN
818,410510076002022.000000000000000,45.556125640869141,-122.592201232910156,CULLY,CNN
819,410510073001187.000000000000000,45.563220977783203,-122.569915771484375,SUMNER,CNN
820,410510076001023.000000000000000,45.560935974121094,-122.588325500488281,CULLY,CNN
821,410510076002017.000000000000000,45.557483673095703,-122.591087341308594,CULLY,CNN
822,410510076001005.000000000000000,45.560028076171875,-122.583419799804688,CULLY,CNN
823,410510076002002.000000000000000,45.560913085937500,-122.589996337890625,CULLY,CNN
824,410510003024043.000000000000000,45.462299346923828,-122.625366210937500,ARDENWALD-JOHNSON CREEK,SEUL
825,410510076002010.000000000000000,45.558624267578125,-122.592193603515625,CULLY,CNN
826,410510076002007.000000000000000,45.559524536132812,-122.592185974121094,CULLY,CNN
827,410510076002008.000000000000000,45.559520721435547,-122.590057373046875,CULLY,CNN
828,410510076001022.000000000000000,45.558555603027344,-122.588371276855469,CULLY,CNN
829,410510076002009.000000000000000,45.558616638183594,-122.590057373046875,CULLY,CNN
830,410510029014017.000000000000000,45.553161621093750,-122.592735290527344,ROSEWAY,CNN
831,410510029014000.000000000000000,45.554653167724609,-122.591705322265625,ROSEWAY,CNN
832,410510029012007.000000000000000,45.553165435791016,-122.589691162109375,ROSEWAY,CNN
833,410510029014018.000000000000000,45.553161621093750,-122.591720581054688,ROSEWAY,CNN
834,410510029012005.000000000000000,45.554653167724609,-122.590690612792969,ROSEWAY,CNN
835,410510029012003.000000000000000,45.554656982421875,-122.588966369628906,ROSEWAY,CNN
836,410510029012002.000000000000000,45.554649353027344,-122.588256835937500,ROSEWAY,CNN
837,410510076001024.000000000000000,45.556667327880859,-122.587875366210938,CULLY,CNN
838,410510029012001.000000000000000,45.554645538330078,-122.587242126464844,ROSEWAY,CNN
839,410510029012009.000000000000000,45.553161621093750,-122.588287353515625,ROSEWAY,CNN
840,410510029012010.000000000000000,45.553153991699219,-122.587272644042969,ROSEWAY,CNN
841,410510029014015.000000000000000,45.551765441894531,-122.597816467285156,ROSEWAY,CNN
842,410510014005016.000000000000000,45.506515502929688,-122.622093200683594,RICHMOND,SEUL
843,410510009011000.000000000000000,45.504428863525391,-122.623443603515625,RICHMOND,SEUL
844,410510009011014.000000000000000,45.502647399902344,-122.624740600585938,RICHMOND,SEUL
845,410510009011016.000000000000000,45.503715515136719,-122.623435974121094,RICHMOND,SEUL
846,410510009011015.000000000000000,45.503002166748047,-122.623435974121094,RICHMOND,SEUL
847,410510008014002.000000000000000,45.504432678222656,-122.621536254882812,RICHMOND,SEUL
848,410510008014003.000000000000000,45.503719329833984,-122.621520996093750,RICHMOND,SEUL
849,410510008014001.000000000000000,45.504554748535156,-122.619064331054688,RICHMOND,SEUL
850,410510008014009.000000000000000,45.503005981445312,-122.621520996093750,RICHMOND,SEUL
851,410510014005005.000000000000000,45.507797241210938,-122.619728088378906,RICHMOND,SEUL
852,410510014005006.000000000000000,45.507312774658203,-122.618591308593750,RICHMOND,SEUL
853,410510014005010.000000000000000,45.506519317626953,-122.619705200195312,RICHMOND,SEUL
854,410510014005015.000000000000000,45.506519317626953,-122.620933532714844,RICHMOND,SEUL
855,410510014005009.000000000000000,45.505928039550781,-122.618583679199219,RICHMOND,SEUL
856,410510014002013.000000000000000,45.513935089111328,-122.616622924804688,SUNNYSIDE,SEUL
857,410510014005014.000000000000000,45.505832672119141,-122.620910644531250,RICHMOND,SEUL
858,410510014005012.000000000000000,45.505306243896484,-122.619659423828125,RICHMOND,SEUL
859,410510014002021.000000000000000,45.512798309326172,-122.617736816406250,SUNNYSIDE,SEUL
860,410510014002023.000000000000000,45.512447357177734,-122.616622924804688,SUNNYSIDE,SEUL
861,410510014002011.000000000000000,45.513217926025391,-122.615638732910156,SUNNYSIDE,SEUL
862,410510014003015.000000000000000,45.510025024414062,-122.616653442382812,RICHMOND,SEUL
863,410510014002010.000000000000000,45.512447357177734,-122.615638732910156,SUNNYSIDE,SEUL
864,410510014003007.000000000000000,45.511665344238281,-122.617668151855469,RICHMOND,SEUL
865,410510014005000.000000000000000,45.508377075195312,-122.617630004882812,RICHMOND,SEUL
866,410510014003005.000000000000000,45.511661529541016,-122.615638732910156,RICHMOND,SEUL
867,410510014003016.000000000000000,45.510025024414062,-122.615638732910156,RICHMOND,SEUL
868,410510014004003.000000000000000,45.508380889892578,-122.616653442382812,RICHMOND,SEUL
869,410510014004002.000000000000000,45.508380889892578,-122.615638732910156,RICHMOND,SEUL
870,410510014002007.000000000000000,45.513721466064453,-122.614608764648438,SUNNYSIDE,SEUL
871,410510014002004.000000000000000,45.515625000000000,-122.613327026367188,SUNNYSIDE,SEUL
872,410510014002009.000000000000000,45.512397766113281,-122.613800048828125,SUNNYSIDE,SEUL
873,410510014003004.000000000000000,45.510391235351562,-122.614631652832031,RICHMOND,SEUL
874,410510014004001.000000000000000,45.508380889892578,-122.614624023437500,RICHMOND,SEUL
875,410510014003003.000000000000000,45.510398864746094,-122.613624572753906,RICHMOND,SEUL
876,410510014003002.000000000000000,45.510303497314453,-122.612670898437500,RICHMOND,SEUL
877,410510014004000.000000000000000,45.508380889892578,-122.612716674804688,RICHMOND,SEUL
878,410510014005007.000000000000000,45.507312774658203,-122.617630004882812,RICHMOND,SEUL
879,410510014004005.000000000000000,45.507320404052734,-122.615684509277344,RICHMOND,SEUL
880,410510014004016.000000000000000,45.505958557128906,-122.616638183593750,RICHMOND,SEUL
881,410510008014006.000000000000000,45.504390716552734,-122.617073059082031,RICHMOND,SEUL
882,410510014004014.000000000000000,45.505966186523438,-122.614692687988281,RICHMOND,SEUL
883,410510014004015.000000000000000,45.505962371826172,-122.615669250488281,RICHMOND,SEUL
884,410510008014000.000000000000000,45.504993438720703,-122.617065429687500,RICHMOND,SEUL
885,410510008014005.000000000000000,45.503719329833984,-122.617073059082031,RICHMOND,SEUL
886,410510008014007.000000000000000,45.503005981445312,-122.617080688476562,RICHMOND,SEUL
887,410510008013003.000000000000000,45.504997253417969,-122.615074157714844,RICHMOND,SEUL
888,410510008013007.000000000000000,45.501407623291016,-122.613510131835938,RICHMOND,SEUL
889,410510014004006.000000000000000,45.507324218750000,-122.614707946777344,RICHMOND,SEUL
890,410510014004007.000000000000000,45.507328033447266,-122.613739013671875,RICHMOND,SEUL
891,410510014004010.000000000000000,45.507030487060547,-122.612091064453125,RICHMOND,SEUL
892,410510014004011.000000000000000,45.506343841552734,-122.612075805664062,RICHMOND,SEUL
893,410510014004018.000000000000000,45.505645751953125,-122.612052917480469,RICHMOND,SEUL
894,410510008013002.000000000000000,45.504329681396484,-122.613517761230469,RICHMOND,SEUL
895,410510008013010.000000000000000,45.502483367919922,-122.613525390625000,RICHMOND,SEUL
896,410510008013009.000000000000000,45.502483367919922,-122.612533569335938,RICHMOND,SEUL
897,410510009011020.000000000000000,45.502288818359375,-122.623435974121094,RICHMOND,SEUL
898,410510009012000.000000000000000,45.500862121582031,-122.623229980468750,RICHMOND,SEUL
899,410510008014010.000000000000000,45.502292633056641,-122.621513366699219,RICHMOND,SEUL
